sha,authorM,comments,merged
b72e863dff193f35cd093fc39b864ecd615e970b,neu,neu,False
f87ed8deeba5f2167e4007337d12b34fa3765dd1,neu,neu,False
ffe28bf0b549dd6493512e4ea72e9c0ebaf305fe,neu,neu,False
e3e211a4de9de151f6611cc9fe64c2ed4d0f081e,neu,neu,True
5b336f6f5ff1d1d5dd779c18461bbe7af0e2dee8,neu,neu,False
ce45713d45380f2073b27d4e1f5dbb6093550349,neu,neu,True
981562b032e162c1e9b1e22f5224e163c04f3e6a,neu,neu,False
3614dac32c99a6511215e26772f444b7d040cc3e,neu,neu,False
acb534a60620e0f127550c8baf8e122b8bcc3730,neu,neu,False
e31032e4f9f2db32303ce8025263e8210c362ddc,neu,neu,True
55f9bbb37d3ec4827900147007493e50d1bcdbb8,neu,neu,False
e00f97de495e98505e9decb34acf493c872d7260,neu,neu,False
232e3789341c4d53cff7ad6eea7d0eb933f3e00f,neu,neu,True
9d473c2d29479a99524e74bd71f724d8891b03e2,neu,neu,False
bdeb77c38da9599b52af0f21a90fe9479f7c8037,neu,neu,False
670a050e2755273e95e42ad96a5d586b101f5ed2,neu,neu,False
2d57abdaae74dd15ac922b5f23a33fbdf294e1fb,neu,neu,False
35694969e29d0caf7c5b56705f9238d3ad01637a,neu,neu,False
c657d6678eff80f2f09133d40345779d3767b919,neu,neu,False
5efa91d4348bb396a6855116899810fbc2637d5e,neu,neu,False
8d09ce0f2a852dba09e352e92785714e8af719fc,neu,neu,False
8b4e5e9c5b37d3d3ccb15c585a347b9198a0e816,neu,neu,True
2c1de48439ec87254dd2d3a6341f877345ccbc8d,neu,neu,False
ffed69ec8a876c16a6b1fc711b028308b5133885,neu,neu,False
2fa03d25c7f2f4918f3ab1ab51f9530178c9c013,neu,neu,False
8410c8434cec40212c2769c791cde8c8648e0fe6,neu,neu,False
9fc8357a37fd081dc86b1b0207c8360c5782fb1c,neu,neu,False
d7ffb5ff316e76d58b55ccde03592bf1bf0f7571,neu,neu,False
355c0e641cc34c42791bc625e3292b756b675fda,neu,neu,False
a19e734f66d38640f981aa7c6cc75e47c2768ca3,neu,neu,True
f4645704b321b6ba3b7c6840d2c54483d1694760,neu,neu,False
358cd8dc94450ba26af525cd31fd895b56cc471e,neu,neu,False
,neu,neu,False
6e541e664df7115c45a17062d8ea56ee0016e5e3,neu,neu,True
c26f8937e73bad67b7037e90845c1b5482c8bf04,neu,neu,False
07d4eb5e051add2101f601e9744b8c29a0a6f960,neu,neu,False
fbb84280d37e775e1707ee9775dda97e182f15a3,neu,neu,False
4df04fab21a6ec03f08156348694df93105a9205,neu,neu,True
055fc7b1d15f6edaacca62b6f716ad235eb153f9,neu,neu,True
871abd55fe83d364cfc24c067d7c37838f8fa8c8,neu,neu,False
