sha,authorM,comments,merged
94fe8930bd987dc125d4e9d4042e0bda03fbd9f9,neu,neu,False
b79065d201ffc8685d43ca7fb670c774bb2ec72b,neu,neu,False
090ceb5d6fcf23c6170ad43e88ece707466faa1c,neu,neu,False
99758d835dd6cbd9a37dd22ec5f357d5fa206d1a,neu,neu,False
ca51da5b235af4a3e0c49a001df53a89692c9133,neu,neu,True
a982abaccbed80588599717fd322ee5e01ffdca2,neu,neu,False
d582935352c1fee4fdd7963922f9b09f891ca7f4,neu,neu,False
184fd34577549bdb70caecf5c62474ff7ad63999,neu,neu,False
5a4126db8d8a00cb99a2ae23f447b9bc8b2a7414,neu,neu,False
5443f0560c1322d09ab5bd6f8966c589ffc25b77,neu,neu,False
0708e535d5c2475e70129f0ad0941139b90409e3,neu,neu,False
ba6da62ae292dcc3966ab7ee240b47ec58424918,neu,neu,False
8f786f19e7f01dbc235230c3f36468cde6e10531,neu,neu,False
cd66decccd1eb9f95b79892499293be0e1e7f91a,neu,neu,True
210d77a9ecb949e7ad1ca183569e05f354be9fb8,neu,neu,True
ee98d3d34a05aa7423f6cbdc605910608bb1432c,neu,neu,False
3bde119f7976c64dd93b51feea110f7cacaf2d16,neu,neu,True
e192b149083fc87872a0626e45e09e4ba0267cdd,neu,neu,True
3883311197e87943a824845a7f0c72f760d1c019,neu,neu,False
2161e67829d38bd3a86dfd9ed969ef0f495f1402,neu,neu,False
0fb4a9f494853c1054218ef467414c3b53c8a4ea,neu,neu,False
a283691205b839219393f461fae41dc565a250bc,neu,neu,False
987086a99164c9d0a8b210c2e8748c4d7a721183,neu,neu,False
acdd4c4d824635d0cd6ef2bcfe26b23c31fad8c9,neu,neu,False
cece53f5fa0ddb60b7968fb111ce5a64a950bef1,neu,neu,True
8507cb44415c80b7b2ab736dab79e8e313174b85,neu,neu,True
7f82a8c8f36784813ee3b854c5ca92762b654a7e,neu,neu,True
95f5199e945f77f02b24f984988ac219731368d5,neu,neu,False
2247cb180cc8da73f7f28d9a6fc60ab825f5d1bb,neu,neu,False
f4f986c0b718a0640050bdea45f24d9b22f0c6aa,neu,neu,False
37f8415bbf2d6c9a093012f270a65409771843f2,neu,neu,False
5ea15eeebd6039c63d136762a6b0e2bc80678372,neu,neu,False
0ce8ca8cd3e2d7e7e791365fffd7f1c480d7440a,neu,neu,False
7c3f8c25f79d2dd1c846431a2e0eb35f8b669acd,neu,neu,False
6d77be475fe88ced7464728f90a3811391be37b7,neu,neu,False
d66e28f3dea3514692a229f7e7b615939f3717a6,neu,neu,False
d840b19d3522fdb875c1b2fbf406e2382574a78a,neu,neu,False
7ad03a953442619aa37dcc48283ceb16ca31e92f,neu,neu,True
df22b3e4fbddb0dd01c580bb814af1446acf1dd6,neu,neu,True
9e8d27385c17eb4efbf81db24ee2968a833d3e2f,neu,neu,False
fe5cad1d134301fc82d404f6d5887591c029afdb,neu,neu,False
04558bf3226eec4def3697aedec46a90bce4ca00,neu,neu,False
40d0111dbccf85e0f788467876eae2d9f415b7f5,neu,neu,True
6005fdb5cf8798ae586791a1272554b8a6cc28ef,neu,neu,False
23b9a2079c995c0f37fd94be3b024f382e6fa338,neu,neu,True
5289772a1479e86deab489c6fd6bc94693451da2,neu,neu,False
cb51a2e586ba786ccf54361689dd39f0793afee4,neu,neu,False
098a18d5783a98c51e44fd34fd42c6b9dd054bf3,neu,neu,True
c906d5c1435c9bbe2ce4fbd22db213f3dfad4be6,neu,neu,True
7c28bfdc16d8d1a444463582ce5aacdefc663c4e,neu,neu,True
feb133dc6c3c194e9acafaa829f4966846aa7f74,neu,neu,False
b1aacfd2d09a7f8c2253acc4abb1d6ed337a2696,neu,neu,False
a2d099c96dfcea4e121794c07b5b69c983ffd392,neu,neu,False
,neu,neu,True
37d2c152f6c1ca420f7e974f6c2523f5803c6ead,neu,neu,False
b18227eda51aee66c70ec88c243c63d4b86bb1f3,neu,neu,False
41feada16bbc6570d66739eb4a5fc191143b4a39,neu,neu,False
4c448a60e10882e80c378e8769ad978e44030c60,neu,neu,True
672eafc489e40ea34ddc751e184193d7e5dd8a28,neu,neu,False
f65ab3a644a66a787a652160bd85b5413825ff2a,neu,neu,False
