sha,authorM,comments,merged
d5cabfe5c65ac29d2f9c151b46c01a9fd885a9e0,neu,neu,True
df46864b39b0ba26aedb65d2984b9be08ff5e35a,neu,neu,True
85c9496340668ad2ebd04eea57d669f82b7dbaf1,neu,neu,True
c5d694b64b58b8da07be3916946ca5d69674440f,neu,neu,False
8e4d1cba00b48bc52dc406956a245856c489e48a,neu,neu,True
ade004b5ee8dbd3bb7286eba7bab599f848985b4,neu,neu,True
,neu,neu,False
b3649a861079ac77496417b0bb62be912177e6f0,neu,neu,False
abe0d9421f2bc6227360f9420aeac2cefbcdc023,neu,neu,True
e82ce0c63d45069b37f1f9f1eb53c2e52ca7d983,neu,neu,False
9e2f8fb4ca9819fda2cb4835c3104cb1e198a0b1,neu,neu,False
cfa2dffc5f717912d204b5049677765bc1cbb509,neu,neu,False
67b7d3d3b6565b88ef94b681b7f7db99b11d2435,neu,neu,True
2e47fe3e1a8087e1beda15b145aa9ce88fff1229,neu,neu,True
0654c4916dc765969f828d7f65079ba612c4bd18,neu,neu,False
1e009d863d096e38c4c49fea19107c346ad1baa3,neu,neu,False
066bdb21a693fd0656fa77eed91a999a40f59f2e,neu,neu,False
df184785fc56105e5d9784137d6ca4b6304f4be8,neu,neu,False
e0ada9777006b1d68394fd09afab4c68a4a6529b,neu,neu,True
ba8ba5366d59a0e590a418d37efb198889a62d30,neu,neu,False
3b59f9c6c254e34d95d917857ccbe79f6e1104b0,neu,neu,True
b22b2cbfacdaef2441d14f401c95863d8ca2e66c,neu,neu,True
41f8fde83e62bd20d3c0a2bb6cff1ed8b3279a4a,neu,neu,True
97f497f99999ec2000b8f9a38b3513122bd67e27,neu,neu,False
cf845fed3824d3e3587ce9b2ad752c2b3f0a2a76,neu,neu,True
ca9e6d87c43bd3e166fc1a896d5773a0724f15d8,neu,neu,False
e2ff5f02d6b0b05d8ea0348ae2fe4928cdc05295,neu,neu,False
c2f70829d9dc1afcc4bbad4aadb21e5053e1fb71,neu,neu,True
f5bf5ebb82e3af420dcd23d602b1be6cc86838e1,neu,neu,True
7c3acdb8309c929f092ea6e6ec44b033b9e60f73,neu,neu,False
f025cc67827a5b1b1faf10dec9d5a1e14e67fa5f,neu,neu,True
a9529d3b4b057eeb3b47943b271ad6605e22732d,neu,neu,True
124a058988dd59f6ae80e4dc7d1aded7dff97d9a,neu,neu,False
592cdebba088d14d0edce7960eed9adae84c4633,neu,neu,False
88f4c366129bc23e354f309536e88518d19a7f5e,neu,neu,False
648509390d865346521082374b1fdf8df7855247,neu,neu,False
24dbfbff70f781d3b24d18e23a81d673e0045265,neu,neu,False
62ca37884af11dacca51ef35c43a7f4805c91c5f,neu,neu,True
f3b2c5e5b83775974c7ee9ff4bafb74a04c4659e,neu,neu,False
e0d1c8424c5d0c1b59be0dfd1eea6543f884648a,neu,neu,False
ec4dc8853dd011e2a312a93a5be2743716846a32,neu,neu,False
4d22d03fabc5f249fd2a93037916b980e4d3f99b,neu,neu,True
8ee2eb5d2e7bd3c601c0277f12d8ad0c5f84cc43,neu,neu,True
3870eb4193172d1ee83fc2fea947620dff413561,neu,neu,False
e13eb049fbe637d5c5ce47192297b9e76d495fb9,neu,neu,False
91038cb4b5dd2cf336e1b2932747332c8872ab6d,neu,neu,False
ae6ec41a74ca59b38dbc6fe6afafa2809ae74419,neu,neu,False
9f9f4b248e1cb879d11b782ddcb91e7fcc3238d8,neu,neu,True
87ff58d844a44335942923d389dbe83a04cf6c7d,neu,neu,False
0fec5a8dc7ddd185bea0581fbefe0029dbac83dc,neu,neu,False
24d645b7d00c4e47264b9a2efb71abfb840de28d,neu,neu,True
c8aa3275693c8b33909c72183254ff9caffba2d2,neu,neu,False
a0780b6e973e12105aad27ccd37d28654f012909,neu,neu,False
de374aa55f59fc95907a37cef7dd5f37aa48098b,neu,neu,False
f91089209b13e43117b9863cbb1bc5159c4866e2,neu,neu,False
fe6c077fdb2058a264ca62d5ccbbf9f937b2d441,neu,neu,False
06444bf050a267da7001c2801480c5fae3e1559e,neu,neu,True
f3b86c1bda03c799c17a508daa867c57be1c0585,neu,neu,True
c00ead8a72dd738013b8a132eff7de4959e59670,neu,neu,True
9d04de1c8d3efb745cfcae3519cee016751b86ec,neu,neu,True
a0ed88a99b736cc786b048126580a7e73c68b07e,neu,neu,True
b2ebc918f2b776e565a0ec32c2fda304c09c03a7,neu,neu,False
4a2db6648403952e7e0e73f26ffd4aebb04e0715,neu,neu,False
fc3b96d0dfcd53a8e924d96eaa10dd642c952e5e,neu,neu,False
4c9cf303b2fc94fb3a448d6e2e340e5dd2af9b8a,neu,neu,False
5d710b1139b34f2ed6bd556f448fa7248354e758,neu,neu,True
575b9f1b370a9f1092d69817d441593ad1410c41,neu,neu,False
857709e27235439274dcb76899e2b48e6fbc4079,neu,neu,False
ca5bfb2d62a8e8e56a464293365f9bfe18566d9e,neu,neu,False
fd99ac9cf9fa423775a85c0763bb4ca0fa90664c,neu,neu,False
1c8477eab214629d26d9526b386bf75729917060,neu,neu,True
19ecde8fe77137afc1182132bf81579f933e518b,neu,neu,True
d2514445e102a2b2ddb9ba638f67fcd8adf6a5af,neu,neu,True
20e4fe8add4df96a9d15844c2a873dacf14c7110,neu,neu,False
383c0b780282e4ca2a9df2086166a576eef0f296,neu,neu,True
e9c28022d3c984e65dddce0f20f472bdea6ad9fc,neu,neu,False
85f32c710d6631f81494683b9d1363ca7297655a,neu,neu,False
