sha,authorM,comments,merged
74e638b758507a37cc6a31d754881c8358e1c493,neu,neu,True
9e0a95e48b22c2853dca841561c12ad5b01e2c59,neu,neu,True
2a63ed1e5667f317455e10f9782b0ba0156969f2,neu,neu,False
f84279b0e6096702acf1654f6c3137235c31ef02,neu,neu,True
c69fd14898643270f3a3409012e5e16fc828e91c,neu,neu,False
4ee4f9159bea3d97317442e312d7ddbfda8129bd,neu,neu,False
8038073acd96f6df7798e991638692db5b6c8d4f,neu,neu,True
bb4b41d4b05c396a7ae9cfda12d0c65d807c0407,neu,neu,False
94ec1e16af607b810d679c0b4bc4684f650ab3a4,neu,neu,True
82946b0842a709612b0243848cdde397fa187474,neu,neu,False
07de6f8f6e01eee92a37b01e89d2b5e25143763e,neu,neu,True
85e9f840ccf700b3171e5fa97ecb1d4b4a5d957b,neu,neu,False
87a6571303367183505ae6d06d4d8fb5f7d03270,neu,neu,False
c9b10ca3144bfa04f1d175bb0bbf05711b913709,neu,neu,True
5b2afd0bf742e25f8ed118358aaa7b2228cfb625,neu,neu,True
6bccda6c208a31f463567bbf0e1896193ee7dc94,neu,neu,True
251964af15b8496d31eeaee5f5698cca7cbf8a4e,neu,neu,False
d66fb0d3e5663ea2f52c62c722032b9c66268a9e,neu,neu,True
e901ed31e1cc1d5f1707ee2f9eb44eb61c853c3b,neu,neu,True
a81b48ff8af86887302f0ff8c42da1de41f4b049,neu,neu,False
50c0220972ecc80f4319da487bda96856b914da7,neu,neu,True
5c9024ed6f70b5a798e316fb062b41136d6513a3,neu,neu,False
aecc297c509f08f95148ccb2915a2b9ff3ee5fa3,neu,neu,True
f9e57d9a0c4b06d0bc3db5c67721827aa9cf6fcd,neu,neu,True
cc2bf2f3754288a61a3a1168a5ed24652d0fb0d3,neu,neu,False
c4d58979aa672ad1b8446014eb4b8d1966dd40f0,neu,neu,True
f96ba51da6a9b5c1d247d33a92885d3b3d9826c3,neu,neu,True
52cbbe2572470c83de583a6d8e83f03229363220,neu,neu,False
2d8104702565377ce090c60cb4151df6a920351b,neu,neu,False
448c147648b36ad6f422ba75565c8eb7115446cc,neu,neu,True
7ee479579e5b0c8e14aa45975341df7ed9712ddd,neu,neu,True
179ef8f19eb5b2dd7e92ffad099bd0385a1ab4fe,neu,neu,True
c131bf00b3c51c3db859a4ace5f92d8ca2e6de6a,neu,neu,False
ecc2adbbfac51776355add90c24481a42f0cb519,neu,neu,True
e4a24bf6507c2b753eac75b7adfd028ec980d791,neu,neu,True
13117865fce8f89a3550dd8aab4a5ea6d519f083,neu,neu,False
dad29e851b21b81dbaf78c189ec085dec06d1da6,neu,neu,False
c7b06ad617e7a3ea1d554214509d368c456996bb,neu,neu,True
e52702050a4bed88a7fb3e89ab4414810362a177,neu,neu,True
df050ea00375c2198f6f2eb7af12fcdb0bec6091,neu,neu,False
686fe398fde25b51b893c8ed0406e5ebda29baaf,neu,neu,True
ba0b4c1245d05d184259f17c21d2ab9b91ee1ad2,neu,neu,True
347b13d1d680ed1d25945cdeb2052d90d34ec764,neu,neu,False
e7c13d75e4337cf166d421c153804892c49511bd,neu,neu,True
45cc353d74c7f139494cdc7d08257f2da4a801a4,neu,neu,False
b56be4d47ef87a4c53c80e1f1bbc29c9991722bd,neu,neu,True
479a0a4b7b22ed9c65c2f3c472a1be56db5ee0f0,neu,neu,True
f91cb927be1d231ce23da0cef04db86e912cda09,neu,neu,True
83b1ad355ef6ceaac80ec723fb01474c60975896,neu,neu,False
52047136bd89d71b4f4b7b432ecbbc5e0f0eaf7c,neu,neu,False
9ec0ec2f506d1e197fa378352d26c7a9b98edf6e,neu,neu,False
42418ad295ea1186b477ca0fde0dd3708a3de102,neu,neu,False
a01e088e71beaf9cf5e94de6f740694551244683,neu,neu,False
8e22c6b92e604e0b9c78664a77754e89124c9280,neu,neu,True
c60063879e46ad964bfdbc628ac0cbb5baea242e,neu,neu,False
d869769142a0f2e79134af0d71e1a1a8049dbdcd,neu,neu,False
e6d3a40739537ab009a9106247f32feceededaa9,neu,neu,True
56d09ab65c3c340f2d2dfad258799901c45b92a3,neu,neu,True
caa43f50f6c3cb600e4dbd70159abda902c47315,neu,neu,True
04127b24caab85b76428d7e916c0cdae12f03975,neu,neu,True
2bb6205c72d85e831d2ff28609f7b2801d26dc18,neu,neu,False
c7de73e34e12aa73b39ddde1e4c52e25449bec27,neu,pos,True
b26c93fd052c3e0c7aba24b6eb268a2ac31d4583,neu,neu,False
6d6707efb902162a226fbe68a6fc8a96472b1dbc,neu,neu,True
1ff8d698352e3dc1f481c2f12d3cbb2f3f6f3788,neu,neu,True
3f31614808fe70c213ffa1bde2835308d7f42f7f,neu,neu,True
ef6c54e9d426e2d5fb25814ff6fe43b378a58380,neu,neu,True
a58ce33c2fae8e00357f5ce7faa53b163c50956d,neu,neu,True
13a19550dff708e5c55487af58db9acd2d9211f9,neu,neu,False
b9fcc25135a8f326b4265e148475d5400e1da11f,neu,neu,False
409e44b0eb541e3bf71475b2114eea1b673d5e5d,neu,neu,False
03c916f0aec20439d3e594caa64cc88fc3b9993e,neu,neu,True
150dcaf896ab5e64aff7bebc9fe7ce5e9bd96d56,neu,neu,False
0dc429a4b9075e0b2c1306c4ca853faaea07f9ac,neu,neu,True
4f97f5c6ee3dbd0d1ce77cd7c819648dcfbbc97e,neu,neu,False
26d7bbb715267b5564811951ae58d0bc2ab55e4c,neu,neu,True
b0e03f4d8e3047620815aeba249e4aa70b4b68c7,neu,neu,True
483eb66bd3de0296a54456ec5767d0707bc30c4f,neu,neu,False
717de2fa9de6d2fe7d56987d9a03ae244c2411bb,neu,neu,False
d565afb59749709f7e865f0919d3fd3ef9190ba5,neu,neu,False
726fe3b6e79d2f03071d422b1fa9df11e2aee56a,neu,neu,True
fe0c8cafb3a132064e5f0878d7cced39ce53ee8f,neu,neu,True
29a1b545641c2e81dcaddebadb7c922b8e154562,neu,neu,True
85d79158def51d61143853c9b9167f725c7a9093,neu,neu,False
7b0dfde51a71e06470794462ef795a77ef3be905,neu,neu,False
7fc397d86d32833fca0515b93825e539efe66bb7,neu,neu,True
348380262fa7e6437e7ca2f58c556b92b52da304,neu,neu,True
a22b00e23d44f58932a513084f02d376c75854f7,neu,neu,True
db6c3c1b7dfb59a66f031e7ab8be009059520515,neu,neu,False
ccfc6085204640f44d785111a92380edc6edc726,neu,neu,True
02d58d82a989ecbcbdf0b5884d333d1c68bfe490,neu,neu,True
88438270393e7c08dc0b9c6036df3dbf5f3db1c5,neu,neu,True
a8420729713725a2de90033173491931b76ec618,neu,neu,False
ca20c01d4b73d3fbb78998e084eaaf9ab63c45d1,neu,neu,False
6a26e9ba7f7f1be7e76054f219bf1e094f2c3264,neu,neu,True
a87b61f526a80c28b35384a806b0e6767d221dbf,neu,neu,True
f0ea57f75a81aaaaeb94cd800f1bba3637377458,neu,neu,False
d0c9b4a4a10bad2f4e7ede2fdcb478107eb783e1,neu,neu,False
48886e9c12e8f73c72d20b8417a101212568b575,neu,neu,False
8e689e92123b5b1b6f5246be0ffa95f7ff86ad26,neu,neu,False
6bd3a82d48233610122464cda627a44449f9635b,neu,neu,True
0e5405a3eabc3536340654f50100f7ab93c78504,neu,neu,True
7719cc6dd76f5ca1f5cc2bda3cc80b8529e628dd,neu,neu,True
ee90f292bd5be8b6e416334f3e0b2ad3fc21aaf2,neu,neu,False
80e8824f02dcee563b3931b88eebcbc9440fc98d,neu,neu,True
2cc36617fad89945ef82bd299272b5b016b34faf,neu,neu,True
050f5f1e09e12eb165c422c8c28d90eb6230dcf1,neu,neu,True
9ab130427f2ebea22863c47634831ac35615d05b,neu,neu,True
2b69b9b167fb4f0a7d9472d96644e4b6f9aaa824,neu,neu,True
856f3c47cd87ede02d79fcaeea2559ca55795766,neu,neu,False
aed0f5f29357c30a9c3142c7fa3215f5b8a867b9,neu,neu,True
e2bb2f41fa9f74f063043249dfc9c06ea6d08c03,neu,neu,True
9badd0e70a95fa1f818d11d3a449b755d9069eef,neu,neu,True
fba7457bf29ca3e276b5d3716208a071edf622f5,neu,neu,True
9e89c0301b7f3d72eaf3f0adcc6ab90fb417606e,neu,neu,True
6e80f0b17fae2194fb9a5a3e86fc9c11f046a02a,neu,neu,False
a148d6e754c8895e697152d59e3a0ca5515e56fb,neu,neu,True
4e87a92b7d856423ad45e58290981126609a466b,neu,neu,True
68b80bdb2e64a77881b67bb5497d05e046b65f14,neu,pos,True
c164b75eebe2e8248a74900e219270903cee9e88,neu,neu,False
bbd6eb77e9aa4c1a0649c5d34c4440b5f687f6ec,neu,neu,True
f915d8e6243fb26beb3ab2e5e921890b7ec407b9,neu,neu,False
8bbd6886f6c73c412cffe6f69d33cf4a19f0759e,neu,neu,True
314c897682b556845fea36d329de8016d1740900,neu,pos,True
aa8c199febac01aa9511112c7b76c57cb51e904b,neu,neu,False
c91ba4949503de5ca9d98c98188c2654b095f2cb,neu,neu,True
92e93c055f29db53b07ddd2adf49db784cf7892e,neu,neu,True
5dafa7ba7646d530e04e8cbd7fa2300e080b15b8,neu,neu,True
709073e53779d912cd1ccbfc660d320cb93c42ca,neu,neu,True
0e7eb0bb4d92f4857d3e74e4e62f4c40214e9e2d,neu,neu,False
2393cd2b5ab77ec2c652285a6b39fcf04c0e4be9,neu,neu,True
